              tenant_id               |    timezone     | digest_enabled | digest_time | digest_channel 
--------------------------------------+-----------------+----------------+-------------+----------------
 09eabefc-85f6-4260-8b42-09a5c5f20bbc | America/Phoenix | t              | 16:00:00    | sms
 1186aab4-88b3-44b5-a0ea-0a1bf7114129 | America/Chicago | t              | 18:00:00    | sms
 248499d3-2c3d-4eb1-bd3f-140fe55bd12e | America/Chicago | t              | 18:00:00    | sms
 42cdc916-6d34-400a-b759-1edd3ab5da2c | America/Chicago | t              | 18:00:00    | none
 4d65fab4-c7bc-4870-8e67-b879277e53b4 | America/Chicago | t              | 18:00:00    | none
 4fa46a3c-c673-484c-8c4a-90077860a3d7 | America/Phoenix | t              | 16:00:00    | sms
 56cef84a-6e9f-43c6-a8ae-49e08aec95e9 | America/Chicago | t              | 18:00:00    | sms
 570195d5-38bf-4920-a71e-723efe85d191 | America/Phoenix | t              | 16:00:00    | sms
 570ecc83-1fff-4fca-9fa9-677717c0322b | America/Chicago | t              | 18:00:00    | sms
 5867d1a4-cac6-4e7e-9c9c-32e46bdf88ab | America/Chicago | f              | 18:00:00    | sms
 71c9536e-1af4-4801-b895-86966cf48480 | America/Chicago | t              | 18:00:00    | sms
 817a8090-e854-4277-b93b-f2b590318683 | America/Chicago | f              | 18:00:00    | sms
 8b6feba3-91e7-454c-b371-47ef18918a28 | America/Chicago | t              | 18:00:00    | sms
 8eb022e7-f8a9-4103-8af1-866e4e10d94a | America/Chicago | t              | 18:00:00    | sms
 9050b9d7-691d-47eb-9641-e7808a5634fa | America/Phoenix | t              | 16:00:00    | sms
 90ef53d7-4fdf-4375-9924-774717a710d8 | America/Chicago | f              | 18:00:00    | sms
 9bbea85e-26ca-4e6c-be01-ec0f5b02f16d | America/Chicago | t              | 18:00:00    | sms
 a06d3881-a416-4fb2-a9b4-37ced84502d9 | America/Chicago | f              | 18:00:00    | sms
 a857fa51-45a4-49cf-b0b3-f1ee658aa879 | America/Phoenix | t              | 16:00:00    | sms
 bead8180-beb7-4f32-912f-8350649b34c4 | America/Chicago | t              | 18:00:00    | sms
 c05e5596-99d4-4f01-a60a-6e53a5c9de2d | America/Chicago | t              | 18:00:00    | sms
 c3e35fb2-8e62-49ea-8a32-5b426ede6c31 | America/Chicago | t              | 18:00:00    | sms
 d665a4b0-b434-4e8a-8fce-9a2a933e409d | America/Chicago | t              | 18:00:00    | none
 d9ff7f99-1163-49a9-b6e8-1fa8e04dd4d1 | America/Chicago | f              | 18:00:00    | sms
 dfb8787d-2e4c-481f-80d3-cde065fb4d38 | America/Chicago | t              | 18:00:00    | sms
 e2858909-a986-4a65-8713-90f8f1324c33 | America/Chicago | t              | 18:00:00    | sms
 e4d41113-2792-4fc3-8287-7e6bda3c2d3d | America/Phoenix | t              | 16:00:00    | sms
(27 rows)

